"","B","Basic_LS_Error","Basic_LAV_Error","Basic_SVR_Error","","","","Basic_LS_Error","Basic_LAV_Error","Basic_SVR_Error","","","","Basic_LS_Error","Basic_LAV_Error","Basic_SVR_Error","","","","Basic_LS_Error","Basic_LAV_Error","Basic_SVR_Error","","","","Basic_LS_Error","Basic_LAV_Error","Basic_SVR_Error","","","","Basic_LS_Error","Basic_LAV_Error","Basic_SVR_Error","","","","Basic_LS_Error","Basic_LAV_Error","Basic_SVR_Error","","",""
"1",NA,-47.3622597194844,-39.5898202083672,-66.7354079350707,15.9619344194416,79.2697839020302,74.4035309915162,-47.3622597194844,-39.5898202083672,-66.7354079350707,15.9619344194416,72.3049833943687,70.6900895998297,-47.3622597194844,-39.5898202083672,-66.7354079350707,15.9619344194416,71.2752783514916,75.9024818795042,-47.3622597194844,-39.5898202083672,-66.7354079350707,15.9619344194416,78.6120502463409,91.9750291118744,-47.3622597194844,-39.5898202083672,-66.7354079350707,15.9619344194416,112.008821311459,109.763532560128,-47.3622597194844,-39.5898202083672,-66.7354079350707,15.9619344194416,95.498088294632,111.143084784084,-47.3622597194844,-39.5898202083672,-66.7354079350707,15.9619344194416,114.596272586939,113.102784311541
"2",NA,33.6207437795347,-15.6778062415087,58.3007158159853,2.94284359726862,125.541533781954,128.629177128008,33.6207437795347,-15.6778062415087,58.3007158159853,2.94284359726862,128.388611420147,130.308190335734,33.6207437795347,-15.6778062415087,58.3007158159853,2.94284359726862,120.559895542684,137.696589504513,33.6207437795347,-15.6778062415087,58.3007158159853,2.94284359726862,130.307024244443,149.183880359053,33.6207437795347,-15.6778062415087,58.3007158159853,2.94284359726862,173.714853937074,175.207289235719,33.6207437795347,-15.6778062415087,58.3007158159853,2.94284359726862,154.974888390741,173.907895372283,33.6207437795347,-15.6778062415087,58.3007158159853,2.94284359726862,173.976437396434,173.961295802222
"3",NA,251.543383242465,256.224821414246,235.838285299835,189.364431594764,369.423825631661,379.012829214484,251.543383242465,256.224821414246,235.838285299835,189.364431594764,368.243825969504,359.024043235925,251.543383242465,256.224821414246,235.838285299835,189.364431594764,367.199684308937,370.302830433738,251.543383242465,256.224821414246,235.838285299835,189.364431594764,373.642495568592,402.795335927066,251.543383242465,256.224821414246,235.838285299835,189.364431594764,403.040948507602,404.309175425435,251.543383242465,256.224821414246,235.838285299835,189.364431594764,390.33746965575,420.997040667223,251.543383242465,256.224821414246,235.838285299835,189.364431594764,411.626238569581,420.43015042915
"4",NA,-14.2225032563219,-5.04830972208583,0.478147691690538,31.2604219715358,104.094682462865,114.714615522067,-14.2225032563219,-5.04830972208583,0.478147691690538,31.2604219715358,115.400872147356,108.569796963006,-14.2225032563219,-5.04830972208583,0.478147691690538,31.2604219715358,115.371210991118,118.008127425257,-14.2225032563219,-5.04830972208583,0.478147691690538,31.2604219715358,122.19947374018,142.17422842845,-14.2225032563219,-5.04830972208583,0.478147691690538,31.2604219715358,135.917362019777,139.658265825413,-14.2225032563219,-5.04830972208583,0.478147691690538,31.2604219715358,132.419290532136,160.681563474517,-14.2225032563219,-5.04830972208583,0.478147691690538,31.2604219715358,148.772357904801,152.42356478093
"5",NA,-300.422975947797,-254.364984139641,-289.896263790769,-181.124738749631,-183.862153433171,-178.488828545589,-300.422975947797,-254.364984139641,-289.896263790769,-181.124738749631,-172.666411046096,-174.315946860126,-300.422975947797,-254.364984139641,-289.896263790769,-181.124738749631,-173.864185650124,-175.452501392834,-300.422975947797,-254.364984139641,-289.896263790769,-181.124738749631,-164.656576164212,-156.772356727137,-300.422975947797,-254.364984139641,-289.896263790769,-181.124738749631,-170.943400704053,-163.658626176382,-300.422975947797,-254.364984139641,-289.896263790769,-181.124738749631,-162.949123083376,-143.80236895944,-300.422975947797,-254.364984139641,-289.896263790769,-181.124738749631,-153.360763361297,-150.489583117191
"6",NA,-39.496635026534,-6.67871473151172,-82.0837368185503,-45.8342514093129,51.7456124965593,53.169643004333,-39.496635026534,-6.67871473151172,-82.0837368185503,-45.8342514093129,65.8023693317764,71.4741486854682,-39.496635026534,-6.67871473151172,-82.0837368185503,-45.8342514093129,73.3381035342081,73.8571521359081,-39.496635026534,-6.67871473151172,-82.0837368185503,-45.8342514093129,88.4927478728569,78.8844006811751,-39.496635026534,-6.67871473151172,-82.0837368185503,-45.8342514093129,72.788730562439,85.0175168397955,-39.496635026534,-6.67871473151172,-82.0837368185503,-45.8342514093129,86.435009479731,96.1284254798802,-39.496635026534,-6.67871473151172,-82.0837368185503,-45.8342514093129,94.9221143238738,90.6399823037436
"7",NA,131.385407332064,106.183855528552,111.069292898866,34.6595079056333,208.878070465497,203.837901242568,131.385407332064,106.183855528552,111.069292898866,34.6595079056333,218.509362592322,238.422935584635,131.385407332064,106.183855528552,111.069292898866,34.6595079056333,228.604215659381,240.972504055515,131.385407332064,106.183855528552,111.069292898866,34.6595079056333,246.948165274496,222.666135598154,131.385407332064,106.183855528552,111.069292898866,34.6595079056333,232.143487500055,248.791170552477,131.385407332064,106.183855528552,111.069292898866,34.6595079056333,243.021811672716,241.353784795039,131.385407332064,106.183855528552,111.069292898866,34.6595079056333,247.310770624181,237.772752821753
"8",NA,210.31554827841,213.255507997913,214.456942224997,125.848800319388,321.856570218411,317.213875424562,210.31554827841,213.255507997913,214.456942224997,125.848800319388,322.089863705474,337.460247448416,210.31554827841,213.255507997913,214.456942224997,125.848800319388,347.810999746958,352.886699174541,210.31554827841,213.255507997913,214.456942224997,125.848800319388,365.140023920399,339.248662293125,210.31554827841,213.255507997913,214.456942224997,125.848800319388,355.127154051987,370.736559308093,210.31554827841,213.255507997913,214.456942224997,125.848800319388,363.730084965995,363.38929531482,210.31554827841,213.255507997913,214.456942224997,125.848800319388,372.611418076878,362.089987405469
"9",NA,242.539126018576,237.310692511606,241.221173140058,218.506960245395,375.538931924378,371.927384044254,242.539126018576,237.310692511606,241.221173140058,218.506960245395,374.320200449467,388.732177868124,242.539126018576,237.310692511606,241.221173140058,218.506960245395,398.796054908465,408.844971728626,242.539126018576,237.310692511606,241.221173140058,218.506960245395,413.337556655498,395.383338436717,242.539126018576,237.310692511606,241.221173140058,218.506960245395,416.532032512678,433.68797122439,242.539126018576,237.310692511606,241.221173140058,218.506960245395,421.370488550624,423.315517260529,242.539126018576,237.310692511606,241.221173140058,218.506960245395,430.52324709123,425.132654120091
"10",NA,237.898637678853,240.133056554769,220.367246089742,224.121294745924,378.039944186523,375.185449564082,237.898637678853,240.133056554769,220.367246089742,224.121294745924,365.453344826465,364.402472491737,237.898637678853,240.133056554769,220.367246089742,224.121294745924,393.792983885837,388.566234824995,237.898637678853,240.133056554769,220.367246089742,224.121294745924,398.113887619453,394.860425484399,237.898637678853,240.133056554769,220.367246089742,224.121294745924,402.785398175011,413.280550695009,237.898637678853,240.133056554769,220.367246089742,224.121294745924,405.196235547941,413.49423301864,237.898637678853,240.133056554769,220.367246089742,224.121294745924,422.757072367169,425.775450106097
