"","","1",""
"Results",NA,NA,NA
"Basic_LS_Cost",614112.484599645,0.528389339513326,0.011246919631958
"Basic_LAV_Cost",619724.7982419,0.523754345307068,0.0372481346130371
"Basic_SVR_Cost",626072.650665459,0.528389339513326,0.789350271224976
"Basic_MLP_Cost",592338.570315497,0.490150637311703,48.1005699634552
"Asy_LAV_Cost",410260.627185643,0.826187717265353,11.0943336486816
"Asy_SVR_Cost",410530.053757999,0.833140208574739,11.4046552181244
"Basic_LS_Cost",739512.926474261,0.528389339513326,0.011246919631958
"Basic_LAV_Cost",747879.01307132,0.523754345307068,0.0372481346130371
"Basic_SVR_Cost",754689.357875619,0.528389339513326,0.789350271224976
"Basic_MLP_Cost",714828.839873155,0.490150637311703,48.1005699634552
"Asy_LAV_Cost",433878.137276108,0.85747392815759,11.1625032424927
"Asy_SVR_Cost",435258.137434016,0.855156431054461,11.0120034217834
"Basic_LS_Cost",864913.368348878,0.528389339513326,0.011246919631958
"Basic_LAV_Cost",876033.227900741,0.523754345307068,0.0372481346130371
"Basic_SVR_Cost",883306.06508578,0.528389339513326,0.789350271224976
"Basic_MLP_Cost",837319.109430813,0.490150637311703,48.1005699634552
"Asy_LAV_Cost",456384.033443063,0.880648899188876,12.8895905017853
"Asy_SVR_Cost",456552.878329522,0.885283893395133,10.8671686649323
"Basic_LS_Cost",990313.810223494,0.528389339513326,0.011246919631958
"Basic_LAV_Cost",1004187.44273016,0.523754345307068,0.0372481346130371
"Basic_SVR_Cost",1011922.77229594,0.528389339513326,0.789350271224976
"Basic_MLP_Cost",959809.378988472,0.490150637311703,48.1005699634552
"Asy_LAV_Cost",476380.327225548,0.898030127462341,10.2751021385193
"Asy_SVR_Cost",476450.282865386,0.903823870220162,11.8073523044586
"Basic_LS_Cost",1115714.25209811,0.528389339513326,0.011246919631958
"Basic_LAV_Cost",1132341.65755958,0.523754345307068,0.0372481346130371
"Basic_SVR_Cost",1140539.4795061,0.528389339513326,0.789350271224976
"Basic_MLP_Cost",1082299.64854613,0.490150637311703,48.1005699634552
"Asy_LAV_Cost",496572.491325444,0.904982618771727,10.5427205562592
"Asy_SVR_Cost",496229.438304527,0.908458864426419,11.9000351428986
"Basic_LS_Cost",1241114.69397273,0.528389339513326,0.011246919631958
"Basic_LAV_Cost",1260495.872389,0.523754345307068,0.0372481346130371
"Basic_SVR_Cost",1269156.18671626,0.528389339513326,0.789350271224976
"Basic_MLP_Cost",1204789.91810379,0.490150637311703,48.1005699634552
"Asy_LAV_Cost",511218.544946644,0.910776361529548,13.3047425746918
"Asy_SVR_Cost",511801.488133177,0.920046349942063,23.0245380401611
"Basic_LS_Cost",1366515.13584734,0.528389339513326,0.011246919631958
"Basic_LAV_Cost",1388650.08721842,0.523754345307068,0.0372481346130371
"Basic_SVR_Cost",1397772.89392642,0.528389339513326,0.789350271224976
"Basic_MLP_Cost",1327280.18766145,0.490150637311703,48.1005699634552
"Asy_LAV_Cost",524406.487677892,0.926998841251448,11.2456681728363
"Asy_SVR_Cost",525573.715651047,0.928157589803013,19.6815123558044
