"","","1",""
"Results",NA,NA,NA
"Basic_LS_Cost",1473464.80556942,0.532013969732247,0.0267255306243896
"Basic_LAV_Cost",1478505.16913352,0.505238649592549,0.121474504470825
"Basic_SVR_Cost",1475663.84756069,0.515715948777648,1.00808453559875
"Asy_LAV_Cost",1039164.22009321,0.856810244470314,11.950695514679
"Asy_SVR_Cost",1043671.0519786,0.854481955762515,11.8216745853424
"Basic_LS_Cost",1769783.42793548,0.532013969732247,0.0267255306243896
"Basic_LAV_Cost",1781248.70401978,0.505238649592549,0.121474504470825
"Basic_SVR_Cost",1777711.85197609,0.515715948777648,1.00808453559875
"Asy_LAV_Cost",1132731.01817919,0.881257275902212,11.1431539058685
"Asy_SVR_Cost",1124572.82051992,0.887077997671711,14.5009717941284
"Basic_LS_Cost",2066102.05030154,0.532013969732247,0.0267255306243896
"Basic_LAV_Cost",2083992.23890604,0.505238649592549,0.121474504470825
"Basic_SVR_Cost",2079759.8563915,0.515715948777648,1.00808453559875
"Asy_LAV_Cost",1198382.98212398,0.905704307334109,11.74436378479
"Asy_SVR_Cost",1206141.69465855,0.891734575087311,20.9828181266785
"Basic_LS_Cost",2362420.67266761,0.532013969732247,0.0267255306243896
"Basic_LAV_Cost",2386735.7737923,0.505238649592549,0.121474504470825
"Basic_SVR_Cost",2381807.86080691,0.515715948777648,1.00808453559875
"Asy_LAV_Cost",1250263.08518908,0.919674039580908,11.6703827381134
"Asy_SVR_Cost",1266229.54139668,0.920838183934808,11.0597443580627
"Basic_LS_Cost",2658739.29503367,0.532013969732247,0.0267255306243896
"Basic_LAV_Cost",2689479.30867856,0.505238649592549,0.121474504470825
"Basic_SVR_Cost",2683855.86522231,0.515715948777648,1.00808453559875
"Asy_LAV_Cost",1319357.31800722,0.932479627473807,11.4006681442261
"Asy_SVR_Cost",1315348.30109074,0.932479627473807,12.1716747283936
"Basic_LS_Cost",2955057.91739973,0.532013969732247,0.0267255306243896
"Basic_LAV_Cost",2992222.84356482,0.505238649592549,0.121474504470825
"Basic_SVR_Cost",2985903.86963772,0.515715948777648,1.00808453559875
"Asy_LAV_Cost",1359228.14551917,0.935972060535506,11.6016912460327
"Asy_SVR_Cost",1361547.0514428,0.935972060535506,12.8493900299072
"Basic_LS_Cost",3251376.53976579,0.532013969732247,0.0267255306243896
"Basic_LAV_Cost",3294966.37845108,0.505238649592549,0.121474504470825
"Basic_SVR_Cost",3287951.87405313,0.515715948777648,1.00808453559875
"Asy_LAV_Cost",1403956.88414132,0.938300349243306,11.561145067215
"Asy_SVR_Cost",1411876.91637616,0.937136204889406,16.0851554870605
